dynasty,addr_chn,region,count,x_coord,y_coord
宋,沅州,南,10,109.68408200000002,27.447302
宋,河中府,北,10,110.33230599999999,34.835129
宋,海門,南,10,121.692779,31.842256
宋,瀘州,南,10,105.43699646,28.88435936
宋,蒲陰,北,10,115.315086,38.412342
宋,蓬萊,北,10,120.74050200000002,37.804516
宋,蔡州,北,10,114.346,33.00754
宋,蘄水,南,10,115.252037,30.458690999999998
宋,衛州,北,10,114.0703,35.41038
宋,豐縣,北,10,116.58418299999998,34.703617
宋,遂溪,南,10,110.25089299999999,21.38298
宋,邢州,北,10,114.494263,37.066357
宋,銅山,南,10,104.93228200000001,30.767678999999998
宋,阜城,北,10,116.144707,37.868179
宋,韓城,北,10,110.437637,35.465939
宋,高麗,未知,10,,
宋,依政,南,9,103.696481,30.328339000000003
宋,信安,南,9,117.2724858888889,27.477481555555556
宋,分宜,南,9,114.693603,27.767023
宋,單父,北,9,116.07925400000002,34.797901
宋,安邱,北,9,119.19739999999999,36.42905
宋,定州,北,9,114.975044,38.520061
宋,富川,南,9,111.29557,24.526541
宋,峨眉,南,9,103.482224,29.60173
宋,廬州,南,9,117.27645874000001,31.864456177000005
宋,德慶府,南,9,111.771019,23.146791
宋,新城,北,9,115.98756399999999,39.245949
宋,新平,北,9,108.077988,35.039658
宋,梁山,南,9,107.788971,30.666655
宋,泗州,北,9,118.46811676,33.023403168
宋,泗水,北,9,117.27016099999999,35.6597
宋,泰興,南,9,119.9852221111111,32.192343888888885
宋,洹水,北,9,114.96708600000001,36.320159
宋,涪城,南,9,104.91629,31.267123
宋,淮南路,未知,9,,
宋,渭南,北,9,109.501236,34.502998
宋,濟南府,北,9,117.00148772999998,36.650131226
宋,相州,北,9,114.34549,36.098343
宋,穰縣,南,9,112.080963,32.684826
宋,繁昌,南,9,118.06960299999999,31.186507999999996
宋,聊城,北,9,116.07614199999999,36.471169
宋,莒縣,北,9,118.834419,35.581886
宋,華陰,北,9,110.089363,34.56831
宋,薊州,北,9,117.40181732000002,40.043861389
宋,鄒平,北,9,117.68444600000001,37.041858
宋,鄠縣,北,9,108.603897,34.11182
宋,閬州,南,9,105.967034,31.583160000000003
宋,陝州,北,9,111.36267853,34.656059265
宋,陵川,北,9,113.277008,35.778126
宋,隨州,南,9,113.36981964,31.715110779
宋,韋城,北,9,114.77003,35.418397
宋,飛烏,南,9,105.055901,30.633301
宋,館陶,北,9,115.32792677777778,36.53973033333333
宋,下邽,北,8,109.50959,34.729103
宋,中都,北,8,116.484373,35.728807
宋,什邡,南,8,104.174042,31.13427
